Video ID,Title,Author,Views,Likes,Comments,Labels
https://www.youtube.com/watch?v=75qQQzSpAsM,Study: Effects Of Childhood Bullying Can Last Well Into Adulthood,CBS New York,19046,288.0,75.0,Bullying
https://www.youtube.com/watch?v=JKYR9xxF_Hg,6 Subtle Signs of Bullying,Psych2Go,113920,7994.0,1412.0,Bullying
https://www.youtube.com/watch?v=DqNs1qFY7-w,Does Bullying Cause Mental Health Problems? | Mended Light,Mended Light,6964,505.0,166.0,Bullying
https://www.youtube.com/watch?v=nw7XTsTN16s,Bullying and the Brain,University of South Dakota,3091,41.0,1.0,Bullying
https://www.youtube.com/watch?v=sQ7JqFjkMig,BULLYING: Long-Term Effects,Dr. Greg,21609,592.0,179.0,Bullying
https://www.youtube.com/watch?v=v1yKGHVqlGQ,Bullying and mental health: what can schools do?,Science Animated,7921,54.0,3.0,Bullying
https://www.youtube.com/watch?v=VJpWUBSNhI4,Mental health outcomes of bullying: Animation,Mental Health Leadership,3346,30.0,0.0,Bullying
https://www.youtube.com/watch?v=9xwFAzxqvrw,Does childhood bullying have long term impacts? | Jennifer Fraser | TEDxLangaraCollege,TEDx Talks,46357,810.0,270.0,Bullying
https://www.youtube.com/watch?v=KxuTU5q9epc,Effects of Bullying,Everyday Health,6848,33.0,3.0,Bullying
https://www.youtube.com/watch?v=BpHIvIs6_6U,How To Heal From Childhood Bullying,Real Life Psych,21488,1025.0,165.0,Bullying
https://www.youtube.com/watch?v=NDsrYiHjNbQ,Who Does Bullying Affect?,Committee for Children,25867,172.0,2.0,Bullying
https://www.youtube.com/watch?v=vrteTHeHecY,Bullies &amp; Bullying - Psychologist discusses techniques to deal with it.,Excel in Exams,65480,1892.0,239.0,Bullying
https://www.youtube.com/watch?v=FqM0YqeRsOM,"Bullying: Fascinating Features and Intervention, with Prof. Alan Kazdin",Yale University,15071,179.0,,Bullying
https://www.youtube.com/watch?v=uNoai5DmXWE,Psychological Effects of Bullying (Accessible Preview),Described and Captioned Media Program,5685,36.0,1.0,Bullying
https://www.youtube.com/watch?v=4mrE5zgEvt4,Protect Yourself Rules - Bullying,Fight Child Abuse,2831499,33086.0,,Bullying
https://www.youtube.com/watch?v=ADYTwo95h8w,Jordan Peterson: The Truth About Bullying,Teaching Valuable Lessons,26630,1309.0,23.0,Bullying
https://www.youtube.com/watch?v=_WEZG9GifKo,Jordan Peterson: The Psychology of Bullying,PhilosophyInsights,86543,2532.0,429.0,Bullying
https://www.youtube.com/watch?v=Hr2Dk0QQ3Sw,The impact of bullying,AntiBullyingPro,151702,1387.0,,Bullying
https://www.youtube.com/watch?v=Ogfcf1yeln4,The Effects of Bullying Can Last a Lifetime,VOA Learning English,12754,81.0,4.0,Bullying
https://www.youtube.com/watch?v=iFlrCuSyhvU,How to Stop Bullying! Examples &amp; and Best Solutions (For Students),Oasis Mental Health Applications,317951,2854.0,367.0,Bullying
https://www.youtube.com/watch?v=iRnoB-jshd8,Bullying Scars - Mayo Clinic,Mayo Clinic,4676,33.0,2.0,Bullying
https://www.youtube.com/watch?v=xYBUY1kZpf8,Childhood Trauma and the Brain | UK Trauma Council,Anna Freud,2866635,115226.0,,Bullying
https://www.youtube.com/watch?v=uYWz7NR20Ko,8 Ways Emotional Abuse Traumatizes You,Psych2Go,745152,43637.0,3702.0,Bullying
https://www.youtube.com/watch?v=OqBP2SJ8vQY,Bullying and loneliness could have long-lasting negative health effects,CBS News,761,9.0,0.0,Bullying
https://www.youtube.com/watch?v=Eo-SdtBuDhw,Why do people bully? | Own It,CBBC,56865,442.0,,Bullying
