Video ID,Title,Author,Views,Likes,Comments,Label
https://www.youtube.com/watch?v=nRTYg5n5Bq0,What is Family Therapy?,Psych Hub,63661,719,13.0,Family
https://www.youtube.com/watch?v=upAdaOmiRX8,My 7 Types Of Toxic Family Systems,Patrick Teahan LICSW,1743011,80180,7407.0,Family
https://www.youtube.com/watch?v=P1XHk5BcA9Y,The Family Psychologists,stateoftomorrow,2048,24,,Family
https://www.youtube.com/watch?v=-_A67wxucLo,7 Signs of a Toxic Family,Psych2Go,1683960,86680,13946.0,Family
https://www.youtube.com/watch?v=iZVTqhcxtn0,How to Establish a Proper Relationship with your Dysfunctional Family - Jordan Peterson,DudeBroTherapy,77412,1828,,Family
https://www.youtube.com/watch?v=Hj1d8xJdPvU,Childhood Trauma: The Lives of the Neglected Children,Sprouts,592120,15113,1248.0,Family
https://www.youtube.com/watch?v=bEcsniTyvpQ,The psychology of family murderers: A deep dive,Michelle After Dark,40144,1839,386.0,Family
https://www.youtube.com/watch?v=Jk39HAhalQs,The Psychology of Family Dynamics in Encanto — Therapist Reacts!,Georgia Dow,450811,25848,1405.0,Family
https://www.youtube.com/watch?v=xiwi1JZ-ZiU,Sibling Dynamics: How Brothers and Sisters Affect Each Other,Sprouts,359749,11264,755.0,Family
https://www.youtube.com/watch?v=Zjs4eJI8YYA,The Crimes and Psychology of Familicide | #Documentary,Morbid Minds,44788,1164,332.0,Family
https://www.youtube.com/watch?v=p07WMFk1k7k,"How To Decide Between Counseling Psychology, Marriage &amp; Family Therapy, And Mental Health Counseling","Justine Johnson LMFT, LMHC",18847,677,59.0,Family
https://www.youtube.com/watch?v=M59_qZftk-c,"Meet Our Doc: Jessica Malmberg, PhD, Child and Adolescent Psychology",Children's Hospital Colorado,13855,151,4.0,Family
https://www.youtube.com/watch?v=OVbf7FcI8OM,Chris Watts: The Psychology of Familicide - a deep dive,Michelle After Dark,64563,1237,570.0,Family
https://www.youtube.com/watch?v=cLa0zqShCcw,The ugly psychology behind scapegoating | Luke Burgis | Big Think,Big Think,101730,5447,652.0,Family
https://www.youtube.com/watch?v=hv4EHib_csg,"what is family under Sociology? its meaning,characteristics, features,functions, #ntanet #upsc",Law With Twins,256700,7523,413.0,Family
https://www.youtube.com/watch?v=1bAQP91LPwY,What is Family ? || Meaning ||Definition || Characteristics || Functions || Sociology,LearnWithVY,81140,1530,56.0,Family
https://www.youtube.com/watch?v=z89rgVrHdC4,How Family Affects our Psychology: Black Widow — Therapist Reacts,Georgia Dow,20249,1423,99.0,Family
https://www.youtube.com/watch?v=uMnL7GVXmK8,The Psychology of “Old Money”: 5 Behaviors That Say Culture and Elegance,Old Money Luxury,325918,11624,1067.0,Family
https://www.youtube.com/watch?v=ZqoRGr3icTo,The Psychology of Beating an Incurable Illness | Bob Cafaro | TEDxCharlottesville,TEDx Talks,507362,13120,930.0,Family
https://www.youtube.com/watch?v=uIShjBm06ps,Chris Watts: Why He Killed His Family [Motive and Psychology of a Murderer],True Crime Rocket Science,55433,1251,552.0,Family
https://www.youtube.com/watch?v=5k_fZLzkj2Y,"Parental Triangulation With a Child (Bowen Family Systems, Psychology, Relationship Patterns)",Boontarika Sripom,5723,148,10.0,Family
https://www.youtube.com/watch?v=_np6k3xMG90,"Meet Our Doc: Ayelet Talmi, PhD, Pediatric Psychology",Children's Hospital Colorado,11390,102,1.0,Family
https://www.youtube.com/watch?v=ZvMmlpQUkmE,குடும்ப உளவியல் - Family Psychology ᴴᴰ ┇ islamkalvi,islamkalvi.com,91841,953,39.0,Family
https://www.youtube.com/watch?v=4zoJdshiA6I,"The Psychology Of The Sale With Family First Life CEO, Shawn Meaike",Grady Polcyn,9782,338,19.0,Family
https://www.youtube.com/watch?v=9qOhioJse9I,"Notes- Family,&quot;Definition,Type, Characteristic of Family&quot;, Sociology,B.sc,Gnm",Nursing Study,299586,5272,125.0,Family
